year,region_code,temperature_anomaly,region_name
1900,2.0,-0.016705357142857147,Africa
1900,9.0,-0.3073621212121212,Oceania
1900,19.0,-0.16080258136924805,Americas
1900,142.0,-0.23404666666666665,Asia
1900,150.0,-0.011169871794871758,Europe
1901,2.0,-0.049141369047619045,Africa
1901,9.0,-0.2729948232323232,Oceania
1901,19.0,-0.2548333333333333,Americas
1901,142.0,-0.01623500000000001,Asia
1901,150.0,-0.3078429487179487,Europe
1902,2.0,-0.11046428571428572,Africa
1902,9.0,-0.5635156857031857,Oceania
1902,19.0,-0.26958291245791244,Americas
1902,142.0,-0.04825833333333333,Asia
1902,150.0,-0.8747516025641024,Europe
1903,2.0,-0.4157574404761905,Africa
1903,9.0,-0.35724047619047616,Oceania
1903,19.0,-0.3527287878787879,Americas
1903,142.0,-0.5966766666666666,Asia
1903,150.0,-0.07312980769230772,Europe
1904,2.0,-0.7237113095238095,Africa
1904,9.0,-0.7645067460317461,Oceania
1904,19.0,-0.6852606060606061,Americas
1904,142.0,-0.5527283333333334,Asia
1904,150.0,-0.2123173076923077,Europe
1905,2.0,-0.35502976190476193,Africa
1905,9.0,-0.5365234126984127,Oceania
1905,19.0,-0.34809696969696974,Americas
1905,142.0,-0.5557916666666667,Asia
1905,150.0,-0.30371955128205136,Europe
1906,2.0,-0.42476190476190473,Africa
1906,9.0,-0.2851821428571429,Oceania
1906,19.0,-0.41307272727272726,Americas
1906,142.0,-0.32106833333333334,Asia
1906,150.0,-0.09761217948717948,Europe
1907,2.0,-0.6387306547619048,Africa
1907,9.0,-0.5400856379731379,Oceania
1907,19.0,-0.5996,Americas
1907,142.0,-0.7037616666666667,Asia
1907,150.0,-0.5532019230769231,Europe
1908,2.0,-0.3628630952380953,Africa
1908,9.0,-0.5405238095238095,Oceania
1908,19.0,-0.4530409090909091,Americas
1908,142.0,-0.5861133333333334,Asia
1908,150.0,-0.48106410256410254,Europe
1909,2.0,-0.3683422619047619,Africa
1909,9.0,-0.5289555555555555,Oceania
1909,19.0,-0.550160606060606,Americas
1909,142.0,-0.12775,Asia
1909,150.0,-0.6314006410256411,Europe
1910,2.0,-0.3989419642857143,Africa
1910,9.0,-0.39223958333333336,Oceania
1910,19.0,-0.7166287878787879,Americas
1910,142.0,-0.5537033333333333,Asia
1910,150.0,0.01654326923076917,Europe
1911,2.0,-0.5824910714285714,Africa
1911,9.0,-0.4126020833333333,Oceania
1911,19.0,-0.5262545454545454,Americas
1911,142.0,-0.7743283333333334,Asia
1911,150.0,0.13546634615384615,Europe
1912,2.0,-0.19841369047619048,Africa
1912,9.0,-0.35091815476190474,Oceania
1912,19.0,-0.36487878787878786,Americas
1912,142.0,-0.3621533333333333,Asia
1912,150.0,-0.5930865384615385,Europe
1913,2.0,-0.15004166666666666,Africa
1913,9.0,-0.38325069444444443,Oceania
1913,19.0,-0.6514363636363636,Americas
1913,142.0,-0.5916466666666667,Asia
1913,150.0,0.0006714743589743463,Europe
1914,2.0,0.05863988095238095,Africa
1914,9.0,-0.23842569444444442,Oceania
1914,19.0,-0.3811242424242424,Americas
1914,142.0,-0.14414833333333332,Asia
1914,150.0,-0.1439599358974359,Europe
1915,2.0,0.036709821428571425,Africa
1915,9.0,-0.09421626984126985,Oceania
1915,19.0,-0.11164848484848484,Americas
1915,142.0,0.15380333333333332,Asia
1915,150.0,-0.5190673076923077,Europe
1916,2.0,-0.2809761904761905,Africa
1916,9.0,-0.1832607142857143,Oceania
1916,19.0,-0.5479590909090909,Americas
1916,142.0,-0.3471116666666667,Asia
1916,150.0,0.0704551282051282,Europe
1917,2.0,-0.3544598214285714,Africa
1917,9.0,-0.516547181372549,Oceania
1917,19.0,-0.8237454545454544,Americas
1917,142.0,-0.39263166666666666,Asia
1917,150.0,-0.7205368589743589,Europe
1918,2.0,-0.42339136904761904,Africa
1918,9.0,-0.5240539215686274,Oceania
1918,19.0,-0.6184681818181818,Americas
1918,142.0,-0.5947966666666666,Asia
1918,150.0,-0.025764423076923105,Europe
1919,2.0,-0.035364583333333345,Africa
1919,9.0,-0.3068183210784314,Oceania
1919,19.0,-0.2492681818181818,Americas
1919,142.0,-0.17974499999999996,Asia
1919,150.0,-0.6625464743589743,Europe
1920,2.0,-0.22504910714285717,Africa
1920,9.0,-0.35741526610644253,Oceania
1920,19.0,-0.4587212121212121,Americas
1920,142.0,-0.6564966666666666,Asia
1920,150.0,0.2603429487179488,Europe
1921,2.0,-0.17170535714285715,Africa
1921,9.0,-0.25767442810457514,Oceania
1921,19.0,-0.4741424242424242,Americas
1921,142.0,-0.5169366666666667,Asia
1921,150.0,0.2500833333333333,Europe
1922,2.0,-0.07795535714285715,Africa
1922,9.0,-0.32242156862745097,Oceania
1922,19.0,-0.48898787878787875,Americas
1922,142.0,-0.057725000000000005,Asia
1922,150.0,-0.5424583333333334,Europe
1923,2.0,-0.10906696428571429,Africa
1923,9.0,-0.49300000000000005,Oceania
1923,19.0,-0.4994848484848485,Americas
1923,142.0,-0.27909833333333334,Asia
1923,150.0,0.008782051282051284,Europe
1924,2.0,0.0060550595238095285,Africa
1924,9.0,-0.19358333333333333,Oceania
1924,19.0,-0.3594515151515152,Americas
1924,142.0,-0.13757,Asia
1924,150.0,-0.30885416666666665,Europe
1925,2.0,-0.147375,Africa
1925,9.0,-0.41159344362745093,Oceania
1925,19.0,-0.3915954545454545,Americas
1925,142.0,-0.29961499999999996,Asia
1925,150.0,-0.0062083333333334085,Europe
1926,2.0,0.19773363095238095,Africa
1926,9.0,-0.17376470588235293,Oceania
1926,19.0,-0.022836363636363637,Americas
1926,142.0,-0.19681,Asia
1926,150.0,0.22042147435897438,Europe
1927,2.0,0.013712797619047618,Africa
1927,9.0,-0.06106770833333334,Oceania
1927,19.0,-0.24085909090909088,Americas
1927,142.0,-0.24608333333333332,Asia
1927,150.0,0.06419871794871797,Europe
1928,2.0,-0.01397023809523809,Africa
1928,9.0,-0.04945588235294118,Oceania
1928,19.0,-0.17792878787878788,Americas
1928,142.0,-0.31611500000000003,Asia
1928,150.0,0.010152243589743556,Europe
1929,2.0,-0.16672321428571432,Africa
1929,9.0,-0.3125735294117647,Oceania
1929,19.0,-0.3221530303030303,Americas
1929,142.0,-0.4487116666666666,Asia
1929,150.0,-0.5816939102564103,Europe
1930,2.0,-0.11414732142857142,Africa
1930,9.0,-0.3271905637254902,Oceania
1930,19.0,-0.12656969696969697,Americas
1930,142.0,-0.23048499999999997,Asia
1930,150.0,0.49196474358974357,Europe
1931,2.0,0.2652931547619048,Africa
1931,9.0,-0.219828431372549,Oceania
1931,19.0,0.009466666666666674,Americas
1931,142.0,-0.2667333333333333,Asia
1931,150.0,-0.36240064102564107,Europe
1932,2.0,-0.07877083333333333,Africa
1932,9.0,-0.19970098039215686,Oceania
1932,19.0,-0.07986818181818182,Americas
1932,142.0,-0.3343966666666667,Asia
1932,150.0,0.03866826923076921,Europe
1933,2.0,-0.02245684523809523,Africa
1933,9.0,-0.24847549019607842,Oceania
1933,19.0,-0.3179757575757576,Americas
1933,142.0,-0.500025,Asia
1933,150.0,-0.45207051282051286,Europe
1934,2.0,-0.1196636904761905,Africa
1934,9.0,-0.20881862745098043,Oceania
1934,19.0,-0.3313939393939394,Americas
1934,142.0,-0.594035,Asia
1934,150.0,0.8505256410256411,Europe
1935,2.0,-0.1605625,Africa
1935,9.0,-0.12226960784313724,Oceania
1935,19.0,-0.41071363636363634,Americas
1935,142.0,-0.11534166666666666,Asia
1935,150.0,0.08897275641025641,Europe
1936,2.0,-0.07963392857142858,Africa
1936,9.0,-0.1298235294117647,Oceania
1936,19.0,-0.1816651515151515,Americas
1936,142.0,-0.272245,Asia
1936,150.0,0.3550032051282052,Europe
1937,2.0,0.08835267857142858,Africa
1937,9.0,-0.05511274509803921,Oceania
1937,19.0,-0.0918969696969697,Americas
1937,142.0,-0.10521333333333333,Asia
1937,150.0,0.5230160256410256,Europe
1938,2.0,-0.0003422619047619006,Africa
1938,9.0,0.06352450980392156,Oceania
1938,19.0,-0.3916681818181818,Americas
1938,142.0,-0.17368666666666668,Asia
1938,150.0,0.48892788461538456,Europe
1939,2.0,-0.08916964285714286,Africa
1939,9.0,-0.2607892156862745,Oceania
1939,19.0,-0.25674545454545455,Americas
1939,142.0,-0.08190666666666667,Asia
1939,150.0,0.2779567307692308,Europe
1940,2.0,0.19623214285714285,Africa
1940,9.0,-0.14988235294117647,Oceania
1940,19.0,0.08561515151515152,Americas
1940,142.0,0.06734,Asia
1940,150.0,-1.0018317307692308,Europe
1941,2.0,0.4170520833333333,Africa
1941,9.0,0.027656862745098054,Oceania
1941,19.0,0.2168439393939394,Americas
1941,142.0,0.3035083333333333,Asia
1941,150.0,-0.8829278846153846,Europe
1942,2.0,0.1535282738095238,Africa
1942,9.0,0.00342647058823529,Oceania
1942,19.0,0.0811439393939394,Americas
1942,142.0,0.03999166666666667,Asia
1942,150.0,-0.748536858974359,Europe
1943,2.0,-0.20502083333333332,Africa
1943,9.0,-0.20541176470588238,Oceania
1943,19.0,-0.2128151515151515,Americas
1943,142.0,-0.3234983333333334,Asia
1943,150.0,0.5588958333333333,Europe
1944,2.0,0.08896875,Africa
1944,9.0,-0.15521185224089637,Oceania
1944,19.0,-0.1328030303030303,Americas
1944,142.0,-0.05546499999999999,Asia
1944,150.0,0.07422596153846152,Europe
1945,2.0,0.06778571428571431,Africa
1945,9.0,-0.14261764705882352,Oceania
1945,19.0,-0.24064696969696972,Americas
1945,142.0,-0.48973833333333333,Asia
1945,150.0,0.3502227564102564,Europe
1946,2.0,0.01655803571428572,Africa
1946,9.0,-0.07033823529411765,Oceania
1946,19.0,-0.11512878787878789,Americas
1946,142.0,0.029258333333333313,Asia
1946,150.0,0.322323717948718,Europe
1947,2.0,0.17391815476190475,Africa
1947,9.0,0.16422549019607843,Oceania
1947,19.0,0.06802121212121212,Americas
1947,142.0,0.16441166666666668,Asia
1947,150.0,0.25667147435897436,Europe
1948,2.0,-0.10539413638262322,Africa
1948,9.0,-0.04689297385620914,Oceania
1948,19.0,-0.031863636363636365,Americas
1948,142.0,-0.17789500000000003,Asia
1948,150.0,0.43650961538461536,Europe
1949,2.0,0.06257309941520468,Africa
1949,9.0,-0.15094907407407407,Oceania
1949,19.0,-0.2546242424242424,Americas
1949,142.0,-0.5034766666666667,Asia
1949,150.0,0.6601266025641026,Europe
1950,2.0,-0.21404970760233918,Africa
1950,9.0,-0.16067129629629628,Oceania
1950,19.0,-0.4457484848484849,Americas
1950,142.0,-0.42669,Asia
1950,150.0,0.5178701923076924,Europe
1951,2.0,-0.07418713450292398,Africa
1951,9.0,-0.11384722222222222,Oceania
1951,19.0,-0.09248181818181818,Americas
1951,142.0,0.004140000000000014,Asia
1951,150.0,0.3687772435897436,Europe
1952,2.0,0.022709064327485384,Africa
1952,9.0,0.052296296296296306,Oceania
1952,19.0,0.09365909090909091,Americas
1952,142.0,0.08448166666666666,Asia
1952,150.0,0.00416506410256411,Europe
1953,2.0,-0.06085380116959065,Africa
1953,9.0,-0.002856481481481489,Oceania
1953,19.0,0.2010151515151515,Americas
1953,142.0,-0.06834166666666668,Asia
1953,150.0,0.3681538461538461,Europe
1954,2.0,-0.1985643274853801,Africa
1954,9.0,0.03022222222222223,Oceania
1954,19.0,-0.16386363636363635,Americas
1954,142.0,-0.07717166666666668,Asia
1954,150.0,-0.2729775641025641,Europe
1955,2.0,-0.1164093567251462,Africa
1955,9.0,-0.06338888888888888,Oceania
1955,19.0,-0.2503348484848485,Americas
1955,142.0,0.18903000000000003,Asia
1955,150.0,-0.14457371794871793,Europe
1956,2.0,-0.3252821637426901,Africa
1956,9.0,-0.13974537037037038,Oceania
1956,19.0,-0.329380303030303,Americas
1956,142.0,-0.34705666666666674,Asia
1956,150.0,-0.8793477564102564,Europe
1957,2.0,-0.07650438596491228,Africa
1957,9.0,-0.031,Oceania
1957,19.0,0.03347424242424243,Americas
1957,142.0,-0.2603783333333333,Asia
1957,150.0,0.3794166666666667,Europe
1958,2.0,0.2035482456140351,Africa
1958,9.0,0.08763888888888889,Oceania
1958,19.0,0.3200318181818182,Americas
1958,142.0,0.25079999999999997,Asia
1958,150.0,0.1208285256410256,Europe
1959,2.0,0.007773391812865495,Africa
1959,9.0,0.07905092592592593,Oceania
1959,19.0,0.04986363636363637,Americas
1959,142.0,-0.20634666666666668,Asia
1959,150.0,0.500224358974359,Europe
1960,2.0,0.06625438596491227,Africa
1960,9.0,-0.025407407407407406,Oceania
1960,19.0,0.13078636363636365,Americas
1960,142.0,0.20521833333333336,Asia
1960,150.0,0.3114150641025641,Europe
1961,2.0,-0.007589181286549705,Africa
